;Al;C;Co;Cr;Cu;Fe;Hf;Mn;Mo;Nb;Ni;Re;Ru;Si;Ta;Ti;V;W;Zr;UTS (MPa);Elongation (%);Mass price (USD/kg);Supply risk;Normalized vulnerability to supply restriction;Embodied energy (MJ/kg);Rock to metal ratio (kg/kg);Water usage (l/kg);Human health damage;Human rights pressure;Labor rights pressure;Class
Co0.25 Cr1 Ni1;0.0;0.0;0.11746297514401324;0.41459865654089184;0.0;0.0;0.0;0.0;0.0;0.0;0.467938368315095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;588.0;64.0;12.90036975024418;0.33176110993003405;0.11847732051759224;332.8189918076901;225.3480635452171;371.83919352588254;25.181434195075354;34.246136036873125;48.36802259090617;FCC HEAs
Co1 Cr1 Fe1 Ni1 Ti0.3;0.0;0.0;0.24571469076141114;0.21681934362113323;0.0;0.23287231425462096;0.0;0.0;0.0;0.0;0.24471398609854436;0.0;0.0;0.0;0.0;0.05987966526429027;0.0;0.0;0.0;772.0;60.0;13.142766885848786;0.2837812543720113;0.10980016741871587;238.5016845195159;284.17410176332487;319.39435477482056;18.688436290844624;37.49425412063196;50.27645378598856;FCC HEAs
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2;0.0;0.0;0.12278340041025466;0.21701420406691116;0.0;0.233081601868019;0.0;0.0;0.0;0.0;0.3672172653193534;0.0;0.0;0.0;0.0;0.0599035283354617;0.0;0.0;0.0;875.0;46.0;10.878573819961131;0.21930008591117478;0.10528224292235712;243.35628249418275;209.2096966774743;275.8226008667;20.39270323597407;34.928790905998696;48.62824381650559;FCC HEAs
Cr0.5 Fe0.5 Ni1 Ti0.15;0.0;0.0;0.0;0.21703653332042047;0.0;0.23310558434510545;0.0;0.0;0.0;0.0;0.48991823512265564;0.0;0.0;0.0;0.0;0.05993964721181842;0.0;0.0;0.0;982.0;37.0;8.619184044419626;0.15508938858764543;0.10075543168356235;248.16578051965047;134.41819171350738;232.29279272211133;22.104675575907784;32.365158857802804;46.99485623662412;FCC HEAs
Co0.25 Cr0.25 Fe1 Mn1;0.0;0.0;0.10635456333808588;0.09384756988936814;0.0;0.4031835983324009;0.0;0.396614268440145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.0;55.7;5.0124607915681585;0.3326674755194101;0.1182166005647754;100.95638614665488;131.29791737013946;222.10820444332143;6.941306551256866;30.7045733846196;41.55403198578053;FCC HEAs
Co0.25 Cr0.25 Fe1 Mn1;0.0;0.0;0.10635456333808588;0.09384756988936814;0.0;0.4031835983324009;0.0;0.396614268440145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;634.0;26.5;5.0124607915681585;0.3326674755194101;0.1182166005647754;100.95638614665488;131.29791737013946;222.10820444332143;6.941306551256866;30.7045733846196;41.55403198578053;FCC HEAs
Co0.25 Cr0.25 Fe1 Mn1;0.0;0.0;0.10635456333808588;0.09384756988936814;0.0;0.4031835983324009;0.0;0.396614268440145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1055.0;22.6;5.0124607915681585;0.3326674755194101;0.1182166005647754;100.95638614665488;131.29791737013946;222.10820444332143;6.941306551256866;30.7045733846196;41.55403198578053;FCC HEAs
Co0.25 Cr0.25 Fe1 Mn1;0.0;0.0;0.10635456333808588;0.09384756988936814;0.0;0.4031835983324009;0.0;0.396614268440145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1004.0;33.9;5.0124607915681585;0.3326674755194101;0.1182166005647754;100.95638614665488;131.29791737013946;222.10820444332143;6.941306551256866;30.7045733846196;41.55403198578053;FCC HEAs
Co0.25 Cr0.25 Fe1 Mn1;0.0;0.0;0.10635456333808588;0.09384756988936814;0.0;0.4031835983324009;0.0;0.396614268440145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;978.0;55.3;5.0124607915681585;0.3326674755194101;0.1182166005647754;100.95638614665488;131.29791737013946;222.10820444332143;6.941306551256866;30.7045733846196;41.55403198578053;FCC HEAs
Co0.25 Cr0.25 Fe1 Mn1;0.0;0.0;0.10635456333808588;0.09384756988936814;0.0;0.4031835983324009;0.0;0.396614268440145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;947.0;69.4;5.0124607915681585;0.3326674755194101;0.1182166005647754;100.95638614665488;131.29791737013946;222.10820444332143;6.941306551256866;30.7045733846196;41.55403198578053;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;901.74;26.3;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;735.6;38.7;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;673.25;42.55;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;618.51;43.15;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;598.75;45.05;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571;0.024889920456221917;0.0;0.0;0.1150649324989082;0.0;0.3603036819724211;0.0;0.28354641792950336;0.0;0.0;0.21619504714294555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;556.0;48.0;4.314736661867911;0.23724785603198306;0.10908792823819692;132.99905023994958;84.28836011099952;215.08505765891053;12.327965181961696;29.775826775876002;42.08936434953458;FCC HEAs
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571;0.051097858714228055;0.0;0.0;0.11811150085567433;0.0;0.36984342420738847;0.0;0.2390279838287837;0.0;0.0;0.22191923239392555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;625.0;42.2;4.384556771557368;0.21589203917605115;0.10598418501027546;138.56615292007228;82.15743386366114;233.9031963699537;12.792661792415027;30.6573734444861;41.77349553085705;FCC HEAs
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571;0.024889920456221917;0.0;0.0;0.1150649324989082;0.0;0.3603036819724211;0.0;0.28354641792950336;0.0;0.0;0.21619504714294555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1392.0;6.78;4.314736661867911;0.23724785603198306;0.10908792823819692;132.99905023994958;84.28836011099952;215.08505765891053;12.327965181961696;29.775826775876002;42.08936434953458;FCC HEAs
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571;0.051097858714228055;0.0;0.0;0.11811150085567433;0.0;0.36984342420738847;0.0;0.2390279838287837;0.0;0.0;0.22191923239392555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1500.0;5.83;4.384556771557368;0.21589203917605115;0.10598418501027546;138.56615292007228;82.15743386366114;233.9031963699537;12.792661792415027;30.6573734444861;41.77349553085705;FCC HEAs
Co1 Cr0.2 Fe1 Ni1 Si0.2;0.0;0.0;0.31099594715166357;0.05488474170004528;0.0;0.29474161969150536;0.0;0.0;0.0;0.0;0.30972937618074214;0.0;0.0;0.029648315276043686;0.0;0.0;0.0;0.0;0.0;732.0;61.0;13.396742673234435;0.2367610709643182;0.10691615126403575;134.06445774437316;348.3074075221169;292.4676897606476;19.670241661616096;38.8948463930026;56.39130898217802;FCC HEAs
Co1 Cr0.2 Fe1 Ni1 Si0.2;0.0;0.0;0.31099594715166357;0.05488474170004528;0.0;0.29474161969150536;0.0;0.0;0.0;0.0;0.30972937618074214;0.0;0.0;0.029648315276043686;0.0;0.0;0.0;0.0;0.0;1070.0;10.0;13.396742673234435;0.2367610709643182;0.10691615126403575;134.06445774437316;348.3074075221169;292.4676897606476;19.670241661616096;38.8948463930026;56.39130898217802;FCC HEAs
Co1 Cr0.2 Fe1 Ni1 Si0.2;0.0;0.0;0.31099594715166357;0.05488474170004528;0.0;0.29474161969150536;0.0;0.0;0.0;0.0;0.30972937618074214;0.0;0.0;0.029648315276043686;0.0;0.0;0.0;0.0;0.0;920.0;60.0;13.396742673234435;0.2367610709643182;0.10691615126403575;134.06445774437316;348.3074075221169;292.4676897606476;19.670241661616096;38.8948463930026;56.39130898217802;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;780.0;53.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;838.0;43.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;899.0;31.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;902.0;29.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;811.0;52.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;49.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;799.0;47.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;802.0;37.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;823.0;36.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;849.0;34.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Co1 Cr1 Fe1 Mo0.2 Ni1;0.0;0.0;0.24086487354358513;0.21253985108207074;0.0;0.22827597467180097;0.0;0.0;0.07843538031779829;0.0;0.23988392038474482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;895.0;32.0;14.150855787453585;0.3159582628848129;0.11726429024277998;208.1332665110125;623.9877406247499;334.7918233626349;21.721631546971985;37.71797595689326;50.850802230276194;FCC HEAs
Fe50Mn30Co10Cr10_b;0.0;0.0;0.10618018018018019;0.0936936936936937;0.0;0.5031531531531531;0.0;0.296972972972973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;876.0;73.0;4.912548963963965;0.2843149913844648;0.11567170925712414;97.44041981981984;123.34714374182961;202.394518018018;6.555413862845001;31.737022138798068;40.52377657309954;FCC HEAs
Fe49.5Mn30Co10Cr10C0.5;0.0;0.00108627226812926;0.10660120692898802;0.09406520889712161;0.0;0.5000967786283845;0.0;0.29815053327737656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;960.0;60.0;4.928738399679456;0.2852517264122929;0.11563176222159052;97.94251530368592;123.84339416069356;203.24297563530192;6.595435051644583;31.792178187627172;40.57303047576043;FCC HEAs
Al3Ti3(CoCrNi)94;0.014613419799136433;0.0;0.33333851501295075;0.29413885594219313;0.0;0.0;0.0;0.0;0.0;0.0;0.3319809510624483;0.0;0.0;0.0;0.0;0.02592825818327135;0.0;0.0;0.0;1300.0;44.0;16.88881769164804;0.3677651182088846;0.11609904259874881;286.2686364162739;377.29671306743387;427.0345846692407;24.02274430145931;38.803427190916295;55.4659621997306;FCC HEAs
CoNiV_a;0.0;0.0;0.34960844803037494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34818462268628375;0.0;0.0;0.0;0.0;0.0;0.30220692928334125;0.0;0.0;1359.0;38.0;130.4930766492645;0.3700544558730807;0.10799992007887875;1225.5954556241093;790.8060631229235;479.01420859041286;28.968455823955686;54.664629013017354;61.575812200348004;FCC HEAs
CoNiV_b;0.0;0.0;0.34960844803037494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34818462268628375;0.0;0.0;0.0;0.0;0.0;0.30220692928334125;0.0;0.0;1221.0;46.0;130.4930766492645;0.3700544558730807;0.10799992007887875;1225.5954556241093;790.8060631229235;479.01420859041286;28.968455823955686;54.664629013017354;61.575812200348004;FCC HEAs
CoNiV_c;0.0;0.0;0.34960844803037494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34818462268628375;0.0;0.0;0.0;0.0;0.0;0.30220692928334125;0.0;0.0;1123.0;51.0;130.4930766492645;0.3700544558730807;0.10799992007887875;1225.5954556241093;790.8060631229235;479.01420859041286;28.968455823955686;54.664629013017354;61.575812200348004;FCC HEAs
CoNiV_d;0.0;0.0;0.34960844803037494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34818462268628375;0.0;0.0;0.0;0.0;0.0;0.30220692928334125;0.0;0.0;1049.0;55.0;130.4930766492645;0.3700544558730807;0.10799992007887875;1225.5954556241093;790.8060631229235;479.01420859041286;28.968455823955686;54.664629013017354;61.575812200348004;FCC HEAs
CoCrNi;0.0;0.0;0.34742365287112364;0.306567621742719;0.0;0.0;0.0;0.0;0.0;0.0;0.34600872538615723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;883.0;68.0;17.21266949652164;0.381156755444793;0.12001298381564564;279.4497700742838;390.4573163542033;426.7306037023935;24.334703616693268;38.504071467700925;56.063579341283344;FCC HEAs
Al0.3CoFeNi;0.04462617548633967;0.0;0.32455283033717647;0.0;0.0;0.30758994695963526;0.0;0.0;0.0;0.0;0.3232310472168486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;853.0;76.0;13.40734668624501;0.2170005862867469;0.10068107468664776;111.93046388371222;362.67933581488774;322.3324515841494;20.193950227535183;38.28328228986311;58.13635535374529;FCC HEAs
Al0.3CoFeNi_a;0.04462617548633967;0.0;0.32455283033717647;0.0;0.0;0.30758994695963526;0.0;0.0;0.0;0.0;0.3232310472168486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;853.0;76.0;13.40734668624501;0.2170005862867469;0.10068107468664776;111.93046388371222;362.67933581488774;322.3324515841494;20.193950227535183;38.28328228986311;58.13635535374529;FCC HEAs
AlCoCrFeNi2.1_a;0.08514644190432206;0.0;0.18597775468575609;0.16410730092752954;0.0;0.1762575530154332;0.0;0.0;0.0;0.0;0.38851094946695913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1341.0;25.0;11.711787543778629;0.22246320309790546;0.1017345418419182;204.8279005503599;262.0189031289688;369.06495535542473;22.223555461307257;36.60555950515118;52.036121852171924;FCC HEAs
AlCoCrFeNi2.1_b;0.08514644190432206;0.0;0.18597775468575609;0.16410730092752954;0.0;0.1762575530154332;0.0;0.0;0.0;0.0;0.38851094946695913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1445.0;21.0;11.711787543778629;0.22246320309790546;0.1017345418419182;204.8279005503599;262.0189031289688;369.06495535542473;22.223555461307257;36.60555950515118;52.036121852171924;FCC HEAs
AlCoCrFeNi2.1_c;0.08514644190432206;0.0;0.18597775468575609;0.16410730092752954;0.0;0.1762575530154332;0.0;0.0;0.0;0.0;0.38851094946695913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1643.0;16.0;11.711787543778629;0.22246320309790546;0.1017345418419182;204.8279005503599;262.0189031289688;369.06495535542473;22.223555461307257;36.60555950515118;52.036121852171924;FCC HEAs
Fe40Mn40Co10Cr10-3.3C_a;0.0;0.007342594553481862;0.1055736449005817;0.09315848523384096;0.0;0.4002231846392322;0.0;0.39370209067286327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;978.0;55.3;4.976552120795973;0.33055137931463874;0.11742200994287215;101.83047513736126;130.689507455434;222.4011137241045;7.061083072173431;31.119287995040715;41.65515069580114;FCC HEAs
Fe40Mn40Co10Cr10-3.3C_b;0.0;0.007342594553481862;0.1055736449005817;0.09315848523384096;0.0;0.4002231846392322;0.0;0.39370209067286327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;947.0;69.4;4.976552120795973;0.33055137931463874;0.11742200994287215;101.83047513736126;130.689507455434;222.4011137241045;7.061083072173431;31.119287995040715;41.65515069580114;FCC HEAs
Co35Cr25Fe20Ni20;0.0;0.0;0.3648367781934605;0.22995215226370203;0.0;0.1975819646758117;0.0;0.0;0.0;0.0;0.20762910486702574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;721.0;96.1;15.541113675962047;0.35317782741147496;0.11836947049762894;219.1065120680659;371.21944510776785;378.3049032874313;19.11560667787215;39.08197151913792;53.527940882329474;FCC HEAs
Co45Cr25Fe15Ni15;0.0;0.0;0.4677025370594097;0.22927891780350795;0.0;0.14775262568452985;0.0;0.0;0.0;0.0;0.1552659194525525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;841.0;76.2;17.951203383627725;0.4066113742511892;0.12145306756670791;221.9237118493109;446.02975334879477;423.6115155336466;19.372027744002573;41.07546297073178;56.45114677728729;FCC HEAs
Fe-22Mn-(7-11)Al-(0.7-1.0)C;0.09;0.0085;0.0;0.0;0.0;0.6815;0.0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;975.0;51.0;0.9575532499999996;0.14301405621376473;0.09863395574776518;49.35659999999999;26.37956259707358;178.852875;4.637424363627086;32.39424900673381;36.41305598467474;Steels
Fe-12Mn-5.5Al-0.7C_c;0.055;0.007;0.0;0.0;0.0;0.818;0.0;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1003.0;45.9;0.8340989999999994;0.08894756890198041;0.09896685634525074;39.509699999999995;18.56115931594227;125.22700000000002;3.6815036994163064;32.7778871697615;35.347747486083975;Steels
Fe-8.1Mn-5.3Al-0.23C;0.053;0.0023;0.0;0.0;0.0;0.8637;0.0;0.081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;949.0;54.0;0.7984023499999995;0.06783109617107508;0.09855896670948104;36.90443;15.32639642420952;114.63942500000002;3.4026845828352146;32.89462957712667;34.84603468242081;Steels
Fe-8.5Mn-5.6Al-0.3C;0.056;0.003;0.0;0.0;0.0;0.856;0.0;0.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;734.0;77.0;0.8043809999999995;0.06995276159797792;0.09836230546078029;37.703649999999996;15.661172602049811;118.46150000000002;3.479174540084829;32.940381300188456;34.90255563850169;Steels
Fe-30.5Mn-8Al-1.2C;0.08;0.012;0.0;0.0;0.0;0.603;0.0;0.305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1180.0;37.0;1.0265714999999995;0.18971560157932166;0.10125920786018634;51.20145;33.19245398552576;186.66325;4.880779451736373;31.53705837764521;37.36034250875309;Steels
TWIP Fe-18Mn-1.5Al-0.6C_c;0.015;0.006;0.0;0.0;0.0;0.799;0.0;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;980.0;60.0;0.8560044999999995;0.12218019555656168;0.10371289229950081;34.3651;23.299269896292035;98.29725;3.2698366838284514;31.443348105292223;35.937473262857374;Steels
TRIP Fe-12Mn;0.00116;0.0001;0.0;0.0;0.0;0.83647;0.0;0.119;0.0112;0.0;0.0206;0.0;0.0;0.00057;0.0;0.0109;0.0;0.0;0.0;1301.0;21.0;1.4315576249999993;0.09546168892497053;0.10311625891783868;38.816128000000006;74.31340759437026;79.62746399999999;4.142239055194348;31.757525458462872;36.16131916296656;Steels
QnP-1958;0.0;0.004;0.0;0.0085;0.0;0.942;0.0;0.0075;0.003;0.0;0.018;0.0;0.0;0.016;0.0;0.001;0.0;0.0;0.0;2082.0;9.9;1.0569054999999992;0.035667578949101775;0.100965713729177;35.10067499999999;27.560443810363306;57.099199999999996;3.3466917941402508;33.667066368786834;34.60865652862066;Steels
Hadfield Fe-14Mn;0.0;0.0;0.0;0.0;0.0;0.86;0.0;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1035.0;44.5;0.8087499999999994;0.10065532470224248;0.10441492338906458;29.194999999999993;19.960945690693872;74.725;2.758408835222674;31.28640059535956;35.395811052146044;Steels
Fe-Mn-Si-Al_b;0.03;0.0;0.0;0.0;0.0;0.74;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;839.0;69.9;0.9218499999999994;0.13289547846680239;0.10368148169272275;39.431;24.418493843848385;114.68350000000001;3.697817473691853;32.60665860450601;35.962517126679046;Steels
Fe-Mn-Si-Al_c;0.03;0.0;0.0;0.0;0.0;0.69;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;650.0;89.3;0.9687249999999994;0.1602315514802346;0.10495251968390859;41.143499999999996;28.333117304810475;124.496;3.8888234092789644;32.086859598372364;36.47660329470981;Steels
Fe-Mn-Si-Al_d;0.03;0.0;0.0;0.0;0.0;0.64;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;614.0;88.0;1.0155999999999994;0.18763930473253965;0.10622355767509445;42.856;32.247740765772576;134.30849999999998;4.079829344866076;31.56706059223872;36.990689462740576;Steels
Duplex (semi-austenitic) stainless steel;0.0;0.00515;0.0;0.0;0.0;0.987;0.0;0.0075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1090.0;13.0;0.6814332999999992;0.02876981236853482;0.10054346461884649;25.65567499999999;9.787147019088774;49.8113;2.3597707661744747;32.932791822358396;34.13164928141586;Steels
Ferritic stainless steel;0.0;0.00515;0.0;0.0;0.0;0.987;0.0;0.0075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;19.0;0.6814332999999992;0.02876981236853482;0.10054346461884649;25.65567499999999;9.787147019088774;49.8113;2.3597707661744747;32.932791822358396;34.13164928141586;Steels
Precipitation hardened stainless steel;0.0;0.00075;0.0;0.17;0.0;0.7125;0.0;0.065;0.0;0.0;0.045;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;1120.0;15.0;2.8445352500000003;0.16081457807546629;0.11033189429838568;127.74725000000002;26.44783867885428;140.73687500000003;6.044145355391669;32.49536060739278;33.86153896986011;Steels
Stainless steel, austenitic, 316Ti, annealed;0.0;0.00075;0.0;0.17;0.0;0.7125;0.0;0.065;0.0;0.0;0.045;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;1315.0;6.0;2.8445352500000003;0.16081457807546629;0.11033189429838568;127.74725000000002;26.44783867885428;140.73687500000003;6.044145355391669;32.49536060739278;33.86153896986011;Steels
Stainless steel, austenitic, AISI 201, 1/2 hard;0.0;0.00075;0.0;0.18;0.0;0.675;0.0;0.0875;0.0;0.0;0.05;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;1115.0;15.0;3.0137165;0.17758201317192324;0.1113461797846784;134.76687500000003;29.504419236287223;150.32875;6.416344250453916;32.266284975123334;34.12322026212666;Steels
Stainless steel, austenitic, AISI 201, 1/4 hard;0.0;0.00075;0.0;0.18;0.0;0.675;0.0;0.0875;0.0;0.0;0.05;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;945.0;30.0;3.0137165;0.17758201317192324;0.1113461797846784;134.76687500000003;29.504419236287223;150.32875;6.416344250453916;32.266284975123334;34.12322026212666;Steels
